Group_ID,Person_ID,Pose_ID,Image_Filename,Shoulder_Height_Diff_px,Hip_Height_Diff_px,Torso_Vertical_Tilt_deg,Ear_Hip_Vertical_Tilt_deg,Shoulder_Line_Horizontal_Tilt_deg,Hip_Line_Horizontal_Tilt_deg
M4,1593,P10,E_P10_1593_cam101_100f.jpg,3.00,2.00,0.26,-0.89,-1.01,1.08
M4,1594,P10,E_P10_1594_cam101_100f.jpg,3.00,2.00,1.29,0.70,1.05,1.16
M4,1595,P10,E_P10_1595_cam101_50f.jpg,6.00,1.00,3.06,0.92,1.97,0.54
M4,1596,P10,E_P10_1596_cam101_100f.jpg,2.00,1.00,0.00,-1.34,0.70,-0.50
M4,1597,P10,E_P10_1597_cam101_100f.jpg,1.00,1.00,3.59,1.52,0.35,0.49
M4,1598,P10,E_P10_1598_cam101_100f.jpg,9.00,0.00,0.24,-1.49,-3.20,-0.00
M4,1599,P10,E_P10_1599_cam101_100f.jpg,10.00,5.00,3.04,1.37,3.67,2.58
M4,1600,P10,E_P10_1600_cam101_50f.jpg,1.00,2.00,2.70,2.99,0.35,1.03
M4,1601,P10,E_P10_1601_cam101_100f.jpg,4.00,1.00,-0.25,-1.86,1.33,-0.53
M4,1602,P10,E_P10_1602_cam101_100f.jpg,7.00,2.00,-2.12,-1.70,2.40,-1.01
M4,1603,P10,E_P10_1603_cam101_100f.jpg,9.00,2.00,-0.49,-1.69,-3.08,-1.01
M4,1604,P10,E_P10_1604_cam101_100f.jpg,5.00,3.00,-2.85,-2.30,1.76,-1.74
M4,1605,P10,E_P10_1605_cam101_100f.jpg,2.00,3.00,-0.48,-1.33,0.65,1.56
M4,1606,P10,E_P10_1606_cam101_100f.jpg,5.00,1.00,-1.79,-3.81,-1.95,0.58
M4,1607,P10,E_P10_1607_cam101_100f.jpg,1.00,1.00,0.94,0.00,0.33,-0.51
M4,1608,P10,E_P10_1608_cam101_100f.jpg,3.00,1.00,0.76,-2.13,-1.09,0.53
M4,1660,P10,H_P10_1660_cam101_100f.jpg,3.00,3.00,0.80,-0.18,-1.09,-1.61
M4,1661,P10,H_P10_1661_cam101_100f.jpg,8.00,1.00,-0.23,0.16,2.78,0.52
M4,1662,P10,H_P10_1662_cam101_100f.jpg,3.00,5.00,2.13,0.00,-1.01,2.73
M4,1663,P10,H_P10_1663_cam101_100f.jpg,3.00,0.00,2.14,0.72,1.07,-0.00
M4,1672,P10,H_P10_1672_cam101_100f.jpg,2.00,2.00,2.07,1.61,0.72,0.98
M4,1673,P10,H_P10_1673_cam101_100f.jpg,12.00,2.00,2.52,0.52,3.97,-1.07
M4,1674,P10,H_P10_1674_cam101_100f.jpg,6.00,2.00,2.75,0.18,2.12,1.07
M4,1675,P10,H_P10_1675_cam101_100f.jpg,1.00,2.00,-0.97,-2.02,-0.36,1.08
M4,1676,P10,H_P10_1676_cam101_100f.jpg,8.00,0.00,1.98,1.37,2.57,-0.00
M4,1677,P10,H_P10_1677_cam101_100f.jpg,13.00,1.00,1.26,1.69,4.53,0.52
M4,1678,P10,H_P10_1678_cam101_100f.jpg,5.00,1.00,3.32,1.93,1.70,0.52
M4,1679,P10,H_P10_1679_cam101_100f.jpg,5.00,0.00,-1.17,-1.83,-1.74,-0.00
M4,1680,P10,H_P10_1680_cam101_100f.jpg,5.00,1.00,0.71,-1.04,1.60,0.49
M4,1681,P10,H_P10_1681_cam101_100f.jpg,4.00,1.00,-1.43,-2.66,1.37,-0.54
M4,1682,P10,H_P10_1682_cam101_100f.jpg,8.00,1.00,-0.27,-0.37,2.90,-0.60
M4,1683,P10,H_P10_1683_cam101_100f.jpg,2.00,0.00,0.76,0.00,0.65,-0.00
M4,1709,P10,J_P10_1709_cam101_100f.jpg,0.00,1.00,0.78,0.35,-0.00,0.53
M4,1710,P10,J_P10_1710_cam101_50f.jpg,3.00,2.00,-0.52,-0.35,1.13,-1.05
M4,1711,P10,J_P10_1711_cam101_50f.jpg,1.00,2.00,0.99,1.39,0.34,1.06
M4,1712,P10,J_P10_1712_cam101_100f.jpg,11.00,3.00,1.53,1.07,3.46,1.52
M4,1713,P10,J_P10_1713_cam101_50f.jpg,1.00,4.00,1.23,0.34,0.35,2.14
M4,1714,P10,J_P10_1714_cam101_50f.jpg,2.00,2.00,0.74,0.00,0.67,1.00
M4,1715,P10,J_P10_1715_cam101_100f.jpg,4.00,1.00,3.18,3.22,1.30,0.54
M4,1716,P10,J_P10_1716_cam101_100f.jpg,3.00,2.00,2.67,1.73,0.94,1.05
M4,1717,P10,J_P10_1717_cam101_100f.jpg,3.00,2.00,0.75,0.52,1.03,1.08
M4,1718,P10,J_P10_1718_cam101_50f.jpg,8.00,1.00,0.28,-2.03,-2.84,0.55
M4,1719,P10,J_P10_1719_cam101_100f.jpg,1.00,0.00,1.81,0.90,-0.36,-0.00
M4,1720,P10,J_P10_1720_cam101_50f.jpg,10.00,0.00,2.65,1.14,3.43,-0.00
M4,1721,P10,J_P10_1721_cam101_100f.jpg,7.00,1.00,3.01,0.89,2.37,0.55
M4,1722,P10,J_P10_1722_cam101_100f.jpg,5.00,2.00,-2.97,-2.91,-1.67,1.16
M4,1723,P10,J_P10_1723_cam101_100f.jpg,8.00,1.00,-0.77,-1.21,2.66,0.52
M4,1724,P10,J_P10_1724_cam101_100f.jpg,16.00,0.00,5.76,4.96,5.31,-0.00
M4,1725,P10,J_P10_1725_cam101_100f.jpg,1.00,2.00,-0.58,-0.39,0.35,-1.05
M4,1726,P10,J_P10_1726_cam101_50f.jpg,5.00,2.00,1.00,0.86,1.71,0.99
M4,1727,P10,J_P10_1727_cam101_50f.jpg,1.00,2.00,0.00,-0.39,-0.35,1.12
M4,1728,P10,J_P10_1728_cam101_100f.jpg,13.00,2.00,1.69,0.86,4.48,1.06
